Contract,Date,Hour,TotalQuantity,TotalValue,WeightedAveragePrice
PH24112702,27.11.2024,02:00,574,50,1.177.168,90,2.049,03
PH24112703,27.11.2024,03:00,538,40,1.061.654,40,1.971,87
PH24112704,27.11.2024,04:00,553,40,1.111.388,60,2.008,29
PH24112705,27.11.2024,05:00,480,80,910.790,30,1.894,32
PH24112706,27.11.2024,06:00,770,40,1.864.069,38,2.419,61
PH24112707,27.11.2024,07:00,779,10,2.259.835,03,2.900,57
PH24112708,27.11.2024,08:00,912,70,2.544.001,65,2.787,34
PH24112709,27.11.2024,09:00,1.071,60,2.939.391,73,2.742,99
PH24112710,27.11.2024,10:00,1.242,40,3.604.994,42,2.901,64
PH24112711,27.11.2024,11:00,1.055,40,3.100.090,39,2.937,36
PH24112712,27.11.2024,12:00,1.521,00,3.540.168,81,2.327,53
PH24112713,27.11.2024,13:00,1.960,90,5.526.591,18,2.818,40
PH24112714,27.11.2024,14:00,2.068,00,5.855.587,71,2.831,52
PH24112715,27.11.2024,15:00,1.576,20,4.701.656,77,2.982,91
PH24112716,27.11.2024,16:00,1.884,30,5.684.607,58,3.016,83
PH24112717,27.11.2024,17:00,2.200,80,6.671.420,03,3.031,36
PH24112718,27.11.2024,18:00,2.030,40,6.108.876,82,3.008,71
PH24112719,27.11.2024,19:00,1.616,30,4.828.677,63,2.987,49
PH24112720,27.11.2024,20:00,1.321,30,3.927.322,54,2.972,32
PH24112721,27.11.2024,21:00,1.079,60,3.098.062,03,2.869,64
PH24112722,27.11.2024,22:00,1.055,30,2.877.647,24,2.726,85
PH24112723,27.11.2024,23:00,1.316,90,3.512.139,55,2.666,98
PH24112800,28.11.2024,00:00,1.333,70,3.641.710,59,2.730,53
PH24112801,28.11.2024,01:00,1.140,00,2.623.984,15,2.301,74
PH24112802,28.11.2024,02:00,1.051,20,2.362.409,32,2.247,35
PH24112803,28.11.2024,03:00,945,00,2.024.007,26,2.141,81
PH24112804,28.11.2024,04:00,934,40,1.973.106,49,2.111,63
PH24112805,28.11.2024,05:00,877,30,2.016.653,69,2.298,70
PH24112806,28.11.2024,06:00,1.547,50,4.559.701,26,2.946,50
PH24112807,28.11.2024,07:00,1.379,50,4.155.762,54,3.012,51
PH24112808,28.11.2024,08:00,1.719,20,5.207.041,98,3.028,76
PH24112809,28.11.2024,09:00,1.848,50,5.605.192,32,3.032,29
PH24112810,28.11.2024,10:00,1.704,70,5.137.840,90,3.013,93
PH24112811,28.11.2024,11:00,2.163,70,6.537.995,46,3.021,67
PH24112812,28.11.2024,12:00,2.024,30,5.240.686,46,2.588,89
PH24112813,28.11.2024,13:00,2.549,10,7.491.776,81,2.938,99
PH24112814,28.11.2024,14:00,1.979,60,5.547.356,27,2.802,26
PH24112815,28.11.2024,15:00,2.355,60,7.091.375,81,3.010,43
PH24112816,28.11.2024,16:00,2.602,00,7.910.034,08,3.039,98
PH24112817,28.11.2024,17:00,2.991,40,9.119.474,94,3.048,56
PH24112818,28.11.2024,18:00,2.806,40,8.544.823,10,3.044,76
PH24112819,28.11.2024,19:00,2.542,60,7.739.155,56,3.043,80
PH24112820,28.11.2024,20:00,2.309,10,7.021.959,54,3.040,99
PH24112821,28.11.2024,21:00,2.054,90,6.219.244,46,3.026,54
PH24112822,28.11.2024,22:00,2.511,80,7.533.312,62,2.999,17
PH24112823,28.11.2024,23:00,3.124,80,9.335.725,02,2.987,62
PH24112900,29.11.2024,00:00,1.425,70,4.266.075,93,2.992,27
PH24112901,29.11.2024,01:00,1.294,60,3.835.869,68,2.962,98
PH24112902,29.11.2024,02:00,460,60,1.267.510,66,2.751,87
PH24112903,29.11.2024,03:00,329,10,893.516,77,2.715,03
PH24112904,29.11.2024,04:00,227,20,601.516,76,2.647,52
PH24112905,29.11.2024,05:00,276,50,747.162,70,2.702,22
PH24112906,29.11.2024,06:00,676,50,2.010.398,59,2.971,76
PH24112907,29.11.2024,07:00,797,50,2.404.051,58,3.014,48
PH24112908,29.11.2024,08:00,887,80,2.683.002,52,3.022,08
PH24112909,29.11.2024,09:00,847,80,2.558.155,86,3.017,40
PH24112910,29.11.2024,10:00,572,50,1.717.378,05,2.999,79
PH24112911,29.11.2024,11:00,554,20,1.652.192,77,2.981,22
PH24112912,29.11.2024,12:00,321,90,804.134,30,2.498,09
PH24112913,29.11.2024,13:00,252,50,630.725,22,2.497,92
PH24112914,29.11.2024,14:00,347,40,1.031.580,71,2.969,43
PH24112915,29.11.2024,15:00,292,60,879.416,50,3.005,52
PH24112916,29.11.2024,16:00,534,40,1.614.570,73,3.021,28
PH24112917,29.11.2024,17:00,505,40,1.534.400,66,3.036,01
PH24112918,29.11.2024,18:00,438,80,1.326.464,97,3.022,94
PH24112919,29.11.2024,19:00,422,40,1.274.390,04,3.017,02
PH24112920,29.11.2024,20:00,468,50,1.413.645,58,3.017,39
PH24112921,29.11.2024,21:00,380,50,1.142.948,59,3.003,81
PH24112922,29.11.2024,22:00,487,50,1.461.947,87,2.998,87
PH24112923,29.11.2024,23:00,577,60,1.733.557,03,3.001,31
